Method,k,strobefraction,unique
mixedaltstrobes2,18,10,77.9
mixedaltstrobes2,24,10,82.3
mixedaltstrobes2,30,10,84.9
mixedaltstrobes2,36,10,86.6
mixedaltstrobes2,18,20,78.0
mixedaltstrobes2,24,20,82.4
mixedaltstrobes2,30,20,85.0
mixedaltstrobes2,36,20,86.7
mixedaltstrobes2,18,30,78.0
mixedaltstrobes2,24,30,82.5
mixedaltstrobes2,30,30,85.1
mixedaltstrobes2,36,30,86.8
mixedaltstrobes2,18,40,78.0
mixedaltstrobes2,24,40,82.7
mixedaltstrobes2,30,40,85.2
mixedaltstrobes2,36,40,86.9
mixedaltstrobes2,18,50,78.0
mixedaltstrobes2,24,50,82.8
mixedaltstrobes2,30,50,85.2
mixedaltstrobes2,36,50,86.9
mixedaltstrobes2,18,60,78.1
mixedaltstrobes2,24,60,82.9
mixedaltstrobes2,30,60,85.3
mixedaltstrobes2,36,60,87.0
mixedaltstrobes2,18,70,78.2
mixedaltstrobes2,24,70,83.0
mixedaltstrobes2,30,70,85.4
mixedaltstrobes2,36,70,87.0
mixedaltstrobes2,18,80,78.2
mixedaltstrobes2,24,80,83.1
mixedaltstrobes2,30,80,85.5
mixedaltstrobes2,36,80,87.1
mixedaltstrobes2,18,90,78.2
mixedaltstrobes2,24,90,83.2
mixedaltstrobes2,30,90,85.5
mixedaltstrobes2,36,90,87.2
