> NZ_CP027472.1
  NZ_CP027583.1 75932 5235356 48
  NZ_CP027583.1 72717 2043442 48
  NZ_CP027583.1 58547 2092219 47
  NZ_CP027583.1 17430 3724646 46
  NZ_CP027583.1 17430 465118 46
  NZ_CP027582.1 2318260 2323780 192938
  NZ_CP027582.1 3582563 3589368 164573
  NZ_CP027582.1 2830025 2835559 145337
  NZ_CP027582.1 2975421 2982228 144728
  NZ_CP027582.1 2621859 2627391 138010
  NZ_CP027582.1 1559114 1564200 135948
  NZ_CP027582.1 696078 701279 119299
  NZ_CP027582.1 1963035 1968282 108612
  NZ_CP027582.1 228624 233884 105169
  NZ_CP027582.1 4882290 4918696 102020
  NZ_CP027582.1 3471751 3478558 101544
  NZ_CP027582.1 890180 895388 99688
  NZ_CP027582.1 1383915 1388998 95166
  NZ_CP027582.1 3120187 3126993 94526
  NZ_CP027582.1 1119893 1123826 89918
  NZ_CP027582.1 1713133 1718220 89345
  NZ_CP027582.1 1221754 1225533 87537
  NZ_CP027582.1 4667515 4664639 87006
  NZ_CP027582.1 1 45784 77328
  NZ_CP027582.1 5258737 5295142 72577
  NZ_CP027582.1 2759884 2765417 70059
  NZ_CP027582.1 365197 370458 67779
  NZ_CP027582.1 5088067 5124471 65025
  NZ_CP027582.1 4604229 4601353 63272
  NZ_CP027582.1 503590 508863 59804
  NZ_CP027582.1 3938948 3945769 58836
  NZ_CP027582.1 1325544 1329336 58338
  NZ_CP027582.1 5029800 5066205 58239
  NZ_CP027582.1 2260872 2266393 57332
  NZ_CP027582.1 1818055 1823130 54811
  NZ_CP027582.1 3818710 3825530 54394
  NZ_CP027582.1 1479154 1484238 54375
  NZ_CP027582.1 1064306 1069516 54288
  NZ_CP027582.1 4797936 4834340 52429
  NZ_CP027582.1 3348596 3355401 49673
  NZ_CP027582.1 3398322 3406407 48604
  NZ_CP027582.1 5485870 5522814 47183
  NZ_CP027582.1 5634647 1 45750
  NZ_CP027582.1 2525808 2531338 45475
  NZ_CP027582.1 4984354 5020759 45431
  NZ_CP027582.1 3214755 3221536 45421
  NZ_CP027582.1 815413 820616 45031
  NZ_CP027582.1 432983 438268 43884
  NZ_CP027582.1 2190231 2195596 43735
  NZ_CP027582.1 635877 641159 43462
  NZ_CP027582.1 4754534 4751649 43333
  NZ_CP027582.1 5432120 5468638 41521
  NZ_CP027582.1 4542782 4539905 41044
  NZ_CP027582.1 3285259 3292063 40450
  NZ_CP027582.1 590958 596236 40198
  NZ_CP027582.1 3747169 3753985 39328
  NZ_CP027582.1 5193588 5229992 38951
  NZ_CP027582.1 5331339 5367744 37724
  NZ_CP027582.1 5369102 5405508 36062
  NZ_CP027582.1 5153117 5189520 35759
  NZ_CP027582.1 185223 190454 35182
  NZ_CP027582.1 1012765 1017975 35026
  NZ_CP027582.1 5533069 5570014 31673
  NZ_CP027582.1 333836 339097 31334
  NZ_CP027582.1 2071673 2076924 28281
  NZ_CP027582.1 117896 123125 28122
  NZ_CP027582.1 3911557 3918378 27346
  NZ_CP027582.1 3876908 3883729 26265
  NZ_CP027582.1 5232563 5268968 26138
  NZ_CP027582.1 4518965 4516086 23771
  NZ_CP027582.1 4476786 4472627 23653
  NZ_CP027582.1 3325773 3332578 22818
  NZ_CP027582.1 3262702 3269506 22460
  NZ_CP027582.1 481974 487247 21577
  NZ_CP027582.1 4583859 4580983 20281
  NZ_CP027582.1 2118689 2123967 19883
  NZ_CP027582.1 4012321 4019141 19802
  NZ_CP027582.1 4850398 4886804 19682
  NZ_CP027582.1 2586670 2592200 19546
  NZ_CP027582.1 157007 162237 19312
  NZ_CP027582.1 2099972 2105223 18699
  NZ_CP027582.1 3451803 3459888 18653
  NZ_CP027582.1 572485 577762 18459
  NZ_CP027582.1 1909978 1915223 18293
  NZ_CP027582.1 3801505 3808325 17169
  NZ_CP027582.1 1928319 1933564 17095
  NZ_CP027582.1 5580446 5617391 16988
  NZ_CP027582.1 1047824 1053034 16446
  NZ_CP027582.1 5416028 5452545 16059
  NZ_CP027582.1 2138653 2143932 15702
  NZ_CP027582.1 5564748 5601694 15620
  NZ_CP027582.1 3786517 3793336 14924
